Lot URL,Lot #,Est. Retail Value,Sale Date,Year,Make,Model,Engine Type,Cylinders,VIN,Title Code,Odometer,Odometer Description,Damage Description,Current Bid,My Bid,Item Number,Sale Name
https://www.copart.com/lotDetail/51552624,51552624,"23,639 USD",Future,2017,CHEVROLET,SLVRD 1500,5.3L  8,8,1GCVKREC4HZ387909,CERT OF TITLE-SALVAGE COLLISIO,"106,359 A",ACTUAL,REAR END,0 USD,0 USD,0,ME - WINDHAM
https://www.copart.com/lotDetail/54494964,54494964,"10,478 USD",Future,2017,CHEVROLET,EQUINOX PR,3.6L  6,6,2GNFLGE34H6255905,CERT OF TITLE-SALVAGE COLLISIO,"181,523 A",ACTUAL,FRONT END,0 USD,0 USD,0,ME - WINDHAM
https://www.copart.com/lotDetail/44897744,44897744,"15,867 USD",Future,2023,KIA,RIO LX,1.6L  4,4,3KPA24AD8PE574547,CERT OF TITLE-SALVAGE COLLISIO,"22,624 A",ACTUAL,FRONT END,0 USD,0 USD,0,ME - WINDHAM
https://www.copart.com/lotDetail/42614794,42614794,"17,245 USD",Future,2019,HYUNDAI,ELANTRA SE,2.0L  4,4,5NPD74LF3KH491545,CERT OF TITLE-SALVAGE COLLISIO,"48,404 A",ACTUAL,REAR END,0 USD,0 USD,0,ME - WINDHAM
https://www.copart.com/lotDetail/53982104,53982104,"7,229 USD",Future,2007,TOYOTA,COROLLA CE,1.8L  4,4,2T1BR32E77C822786,CERT OF TITLE-SALVAGE COLLISIO,"52,840 E",EXEMPT,HAIL,0 USD,0 USD,0,ME - WINDHAM
https://www.copart.com/lotDetail/54182544,54182544,"5,334 USD",Future,2010,HONDA,CIVIC DX,1.8L  4,4,2HGFG1A21AH516068,CERT OF TITLE-SALVAGE COLLISIO,"168,366 A",ACTUAL,REAR END,0 USD,0 USD,0,ME - WINDHAM
https://www.copart.com/lotDetail/54409004,54409004,"8,052 USD",Future,2012,VOLVO,S60 T6,3.0L  6,6,YV1902FH9C2111892,CERT OF TITLE-SALVAGE COLLISIO,"170,474 A",ACTUAL,REAR END,0 USD,0 USD,0,ME - WINDHAM
https://www.copart.com/lotDetail/54622874,54622874,"6,860 USD",Future,2008,FORD,EXPEDITION,5.4L  8,8,1FMFU18598LA35100,CERT OF TITLE-SALVAGE COLLISIO,"152,937 E",EXEMPT,SIDE,0 USD,0 USD,0,ME - WINDHAM
https://www.copart.com/lotDetail/54712634,54712634,"8,069 USD",Future,2014,SUBARU,IMPREZA SP,2.0L  4,4,JF1GPAR63E8299912,CERT OF TITLE-SALVAGE COLLISIO,"151,384 A",ACTUAL,REAR END,0 USD,0 USD,0,ME - WINDHAM
https://www.copart.com/lotDetail/53583374,53583374,"17,812 USD",Future,2010,FORD,F150 SUPER,6.2L  8,8,1FTEX1E62AFD37630,CERT OF TITLE-SALVAGE COLLISIO,"176,179 E",EXEMPT,FRONT END,0 USD,0 USD,0,ME - WINDHAM
https://www.copart.com/lotDetail/53615314,53615314,"7,780 USD",Future,2011,TOYOTA,RAV4,3.5L  6,6,2T3BK4DV3BW054102,CERT OF TITLE-SALVAGE COLLISIO,"166,348 N",NOT ACTUAL,FRONT END,0 USD,0 USD,0,ME - WINDHAM
